APFS Number,Description,Contract Status,Component
F2020048937,7642793 Rebuild Back Creek RR Light USCG ANT Baltimore located in Upper Chesapeake Bay,NEW,USCG/SILC-Const.
F2020048938,"The Contractor shall provide Roleplayer Services at The Federal Law Enforcement Training Centers (FLETC} Glynco, Georgia. The FLETC requires morning, afternoon, and evening roleplayer support for training exercises. Required services of this acquisition include, but are not limited to: hiring; training; preparation; reporting; scheduling of roleplayers and inspections to support reality based law enforcement training exercises. Examples of these services include, but are not limited to: Standardized Field Sobriety Test (DMD wet lab); practical exercise facility monitoring; Technical Library management; scenario packages; prop and protective gear inventory database maintenance; issuing, cleaning of prop and protective gear; the purchasing and maintenance of props and protective gear; and other duties/services specified throughout this acquisition. Training exercises are normally for two (2) or four (4) hour blocks ranging from 6:30 a.m. to 6:00 p.m. Training exercises may start before 6:30 a.m. with the possibility of exercises lasting until 12:00 midnight. The length of each exercise is determined by the scenario package(s) specified in the monthly Roleplayer Work Order. Exercises are scheduled concurrently with numerous exercises at different locations. FLETC and the Partner Organizations training curriculum includes over 718 programs utilizing · over 550 training exercises on average per month requiring roleplayer support. A normal training day may utilize in excess of 225 roles to support 35 exercises and multiple scenarios. Many roles are on-going on a concurrent basis. The roleplayer staff may exceed 400 part-time roleplayers. The normal duty hours for this contract are from 6:30 a.m. to 6:00 p.m. Monday through Friday, excluding Federal holidays. The Contractor shall be required to issue props for exercises scheduled before and/or after normal duty hours. During the normal duty hours, the Government requires the RPS' main office be staffed by either the Program Manager or the Alternate Program Manager and daily administrative staff required to support the requirements of this acquisition. Outside of normal duty hours is prior to 6:30 a.m. and after 6:00 p.m. Monday through Friday, Saturdays, Sundays and Federal , holidays as necessary when scheduled on the Roleplayer Order in the Student Administration & Scheduling System (SASS) to support the student training mission at the FLETC. The Government requires one (1) employee responsible for issuing props and (1) employee authorized to contact Roleplayers in order to handle ""no shows"" to be on site 30 minutes before the first exercise of the day and 30 minutes following the start time of the last exercise of each day. For example, if an exercise is scheduled for 6:30 a.m.; one (1) employee responsible for issuing props and (1) employee authorized to contact Roleplayers in order to handle ""no shows"" shall be onsite at 6:00 a.m. The Contractor shall manage the total work effort associated with the requirements of this Contract to assure adequate and timely completion of these services. All employees assigned by the Contractor to the performance of work under this contract shall be capable and experienced in the type of work they are assigned or be given on the job training by the Contractor. All Contractor employees must be physically and mentally capable to perform the essential functions and demands of their assigned work in a safe and effective manner.",REC,FLETC/SSD
F2020048948,"This requirement is for armed Protective Security Officers for the Nuclear Regulatory Commission in Maryland.  This requirement consists of four separate sites and will be competed using the agency Multiple Award Contract Vehicle.  These sites include 11155 Rockville Pike, Bethesda, MD; 11545 Rockville Pike Bethesda, MD; 11601 Landsdown Street Rockville, MD, and 4930 Boiling Brook Parkway Rockville, MD.  This contract requires security clearances at the TS level.  FPS considers PSO positions equivalent to DOL Labor Category Guard II. Contractor shall provide and maintain all management , supervision, manpower, training, equipment, supplies, licenses, permits, certificates, insurance, pre-employment screenings, reports, files, and other resources necessary to accomplish PSO services as described and required. ",REC,DHS HQ/OPO
F2020048951,PSN 564407 -- Replace two existing concrete stairways with one monumental concrete stairway that will enable access up a steep hill from Chase Hall to Leamy Hall. Scope includes optional bid item for walkway extension to the ramp leading into Chase B.,NEW,USCG/CG-912
F2020048952,"CBP is seeking cost effective, non-terrestrial, commercial solutions that deliver relevant data about potential border security threats in support of CBP’s border security mission, as well as enhance search and rescue and/or medical response for at risk migrants. This program requires the offerors provide a capability that does not require CBP purchased surveillance infrastructure. These capabilities should leverage commercially available data, infrastructure and assets.",NEW,CBP
F2020048958,Office of Asset and Facilities Management office is looking to provide a user-friendly application for employees to find and book the ideal workspace and meeting rooms that meets their needs.,NEW,ICE/CIO
F2020048961,This PR will be to refresh supervisor modules that will no longer be covered by maintenance. Modules to be replaced are supervisor 8E and 158 X4748 modules. The 4500 model switches are typically core switches at field sites and this will impact entire site.,NEW,TSA
F2020048962,Renew the maintenance and support for the Palo Alto firewalls (Government owned). ,REC,TSA
F2020048966,"The purpose of this contract is to obtain contractor support services for the Office of Information Management, Directives & Publications Division (CG-612), for printing, graphics and reproduction support to the entire Coast Guard.  The Contractor shall be responsible for assisting the Printing Specialist with the processing of all printing jobs submitted to CG-612.  This will require direct interaction with GPO in managing and ensuring all jobs processed meet the specifications of the customer requirements and are in compliance within the guidelines and terms set forth in the Joint Committee on Printing (JCP). ",REC,USCG/CG-912
F2020048969,"Provide SEVP with Design, Development, Test, Deployment, Operations and Maintenance (O&M), Engineering, and Security support for the SEVIS portfolio of applications.",REC,ICE/HSI
F2020048970,"PSN 13517253 18HSB Design Repair Site Drainage STA Venice, FL PMV033",NEW,USCG/SILC-Const.
F2020048972,Install Solar Panels on Building S,NEW,FEMA
F2020048978,"PSN 3837520 HS17B Dredge Boat Basin CG STA Port Aransas, TX",NEW,USCG/SILC-Const.
F2020048982,"The United States Coast Guard, Surface Forces Logistic Center (SFLC), Medium Endurance Cutter (MEC) Product Line has a need to have in place a  Multiple Award Task Order Contract (MATOC) vehicle that will encompass planned and unplanned/emergency dockside maintenance requirements for US Coast Guard 210’ and 270’ Medium Endurance Cutters.",NEW,USCG/SFLC
F2020048985,"Produce Regulatory and Non-Regulatory Risk MAP Products.Provide the full range of Risk MAP engineering and mapping elements (e.g. Hydrology and Hydraulics, field surveys, floodplain mapping, others). Ensure compliance with FEMA standards.",REC,FEMA
F2020048986,"A requirement exists for the purchase of spares for the United States Coast Guard, Short Range Recovery (SRR) MH65 Aircraft.  These spares directly relate to the support of the Floatation Assemblies and other associated items utilized on the SRR aircraft.  All parts must have clear traceability to the Original Equipment Manufacturer (OEM), Safran Aerosafety systems (formerly Aerazur) (Cage Code: F6101). It is anticipated that this will be offered on a Sole Source Basis to Safran Aerosystems Services Americas, LLC, the only North America entity to handle aftermarket for spares and repairs on behalf of the OEM.  ",REC,USCG/ALC
F2020048990,"Unarmed Security Guards to provide routine, non-technical unarmed security guard services to secure the well-being of detainees at the El Paso Sector, El Paso Station 1 Modular Centralized Processing Center (CPC).  Contractor shall be responsible for the security and monitoring of the facility.",NEW,CBP/Facilities Managemen
F2020048999,Testing of TRACEN drinking water and wastewater. ,REC,USCG/SILC-Base
F2020049000,"Acquire parking for the New Orleans Sector and Border Patrol Offices.  Parking is for 86 spots, with a portion being reserved and numbered.",REC,CBP/Facilities Managemen
F2020049004,10291170 Ketchikan A/E Design for M&R Waterfront. Project will be competed amongst pool of preselected Ocean Engineering A&E IDIQ,NEW,USCG/SILC-Const.
F2020049006,"Provide janitorial services for office, berthing and common areas at US Coast Guard Air Station Savannah.",REC,USCG/SILC-Base
F2020049016,PSN 13187491 FY20 D11 & D13 Waterfront InspectionsConduct underwater and above surface waterfront inspections for D11 and D13,NEW,USCG/SILC-Const.
F2020049017,Task Order Management Strategic Planning  Communications and Stakeholder Engagement Program Management and Executive Support Matrixed Team Support Executive Support  ,NEW,CBP/OIT
F2020049019,"The Contractor shall provide all required HSEEP program support for the Infrastructure Security Division (ISD) and its stakeholder’s participation in exercises, both discussion based and operationally based (CISA regularly conducts multiple Full-Scale Exercises each FY). Exercise support typically includes (but not limited to), Training and Evaluation Plan (TEP) development and de-confliction, Concept and Objectives Meetings,  Initial Planning Meetings, Mid-Planning Meetings, inject development/de-confliction, Final Planning Meetings, exercise implementation, execution and facilitation, assisting with evaluation guides/general evaluation, taking of notes, exercise facilitation, and development participant materials, i.e. Situation Manuals (SITMAN), Exercise Plans (EXPLAN’s), etc. The Contractor shall provide physical security expertise participation to HSEEP meetings with input from ISD  representatives and its stakeholders to prepare for CISA’s participation in the exercises and discuss status of CISA exercise coordination efforts. The Contractor shall develop an After Action Report (AAR) for all exercises and CISA led planning conferences, and an Improvement Plan or corrective action program (CAP) at the discretion of the program office through the COR.The Agency conducts several different levels of exercises for both discussion and operations-based exercises. The following is a non-exhaustive list of the examples of exercises that the contractor shall provide HSEEP compliant support, addressed above, for:Discussion-based exercises include seminars, workshops, tabletop exercises (TTXs), and games. These types of exercises can be used to familiarize players with, or develop new plans, policies, agreements, and procedures. Discussion-based exercises focus on strategic, policy-oriented issues. Facilitators and/or presenters usually lead the discussion, keeping participants on track towards meeting exercise objectives.Operations-based exercises include drills, functional exercises (FEs), and full-scale exercises (FSEs). These exercises can be used to validate plans, policies, agreements, and procedures; clarify roles and responsibilities; and identify resource gaps. Operations-based exercises are characterized by actual reaction to an exercise scenario, such as initiating communications or mobilizing personnel and resources",REC,DHS HQ/CISA
F2020049024,This requirement will be a ship repair contract for USCGC FORWARD Fiscal Year 21 Dockside (DS) maintenance availability designed to complete all standard recurring maintenance items. Work will be accomplished at cutter's homeport facility unless otherwise specified within the solicitation. ,NEW,USCG/SFLC
F2020049029,Establish a Blanket Purchase Agreement for AT&T FirstNet Wireless services.,REC,CBP/OIT/ENTS
F2020049030,"The Contractor will provide administrative support for TSA's National Capital Region (NCR). This includes managing a seat reservation system that will be used by all TSA employees to reserve conference room or work space in TSA's NCR facilities. In addition, the Contractor will support the TSA Real Estate Management Division's (REMD) SharePoint sites.",REC,TSA
F2020049031,"This acquisition is to procure CloudBees Jenkins Platform for Enterprise software subscription, maintenance, and support. The anticipated strategy is FirstSource II, EDWOSB track. ",REC,USCIS
F2020049037,CBP has a need to renew brand name IBM software and hardware licenses. ,NEW,CBP/OIT/EDME/EDCOG
F2020049040,"Provide technical requirements for the CBP Air and Marine Operations, National Vessel Maintenance Contract.  Work is done throughout CONUS / Puerto Rico / VI.",REC,CBP/Office of Air and Ma
F2020049043,"PSN 10252030 Replace ATON in Snake River, OR",NEW,USCG/SILC-Const.
F2020049044,PSN 13644466 Control Erosion and Repave Roads at Base SeattleRepave and repair parking lots and roads on Base Seattle.,NEW,USCG/SILC-Const.
F2020049050,Establish a Blanket Purchase Agreement (BPA) for Verizon Wireless services.,REC,CBP/OIT/ENTS
F2020049051,"This will be a ship repair contract for PIKE FY21 DOCKSIDE, San Francisco, CA maintenance availability designed to complete all standard recurring maintenance items.  ",NEW,USCG/SFLC
F2020049052,"PSN 10902453 HS17B Sherman Cut RRL (LLNR 7240) at CG ANT JACKSONVILLE BE, Jacksonville, FL",NEW,USCG/SILC-Const.
F2020049056,"The BP Academy in Artesia, NM is in need of creating an Agreement for Student Gear Kits.A Blanket Purchase Agreement against GSA Schedule 84: SIN 426_99 ""Introduction of New Services/Products related to Law Enforcement and Security Equipment"" is planned.This request is for a Base Year Contract with four option years.Vendor will supply required student gear and place all material into backpack to be given to students upon entering training at the Border Patrol Academy in Artesia, NM",NEW,CBP/OTD
F2020049069,"DHS Leader Development Program (LPD) requirements but also the requirement from 29 CFR Part 1614 - Federal Sector Equal Employment Opportunity.  ICE leaders at every level face challenges in managing a larger, more diverse and highly tasked workforce. Tolerance, diversity and inclusion training are a critical element of training that ICE provides to its’ law enforcement officers. Supervisors and managers serve the critical role of translating executive vision into workable policies and practices for their subordinate to execute. Tools for Tolerance”  for Law Enforcement Program as the mandatory training vehicle for ICE senior leaders.",NEW,ICE/AS
F2020049070,"USCIS has a brand name requirement for Dell servers and associated items. This is a hardware and associated license procurement; there are no installation services required and all items will be delivered to one location. The intended strategy is FirstSource II, Small Business Track.",NEW,USCIS
F2020049071,"The sustainment of the U.S. Coast Guard Medium Range Surveillance HC-144 aircraft fleet requires the procurement of Ball-Screw Actuators, P/N 677001005, NSN 1680-99-767-8851. ",NEW,USCG/ALC
F2020049072,"FSM PMO support includes all programmatic, technical, functional, and administrative tasks required to support CISA throughout discovery, implementation, and post migration to FSM solution.The objective of the FSM PMO Support is to support CISA Office of Chief Financial Officer  (OCFO) throughout the lifecycle of the Financial Systems Modernization Program (FSM) , in partnership with the PMO, Immigration and Customs Enforcement (ICE) as its financial services provider, and future system integrator, so that the FSM solution is: configured to meet CISA requirements; CISA Financial Data is prepared so that it is able to be migrated to the future solution; CISA users are apprised of the migration and are trained and ready to accept the system upon go-live.",REC,DHS HQ/CISA
F2020049074,"In order to fulfill its mission, the Federal Protective Service Region 3 Mission Support Branch has identified a need for 6 full time equivalent contractor personnel to provide administrative support personnel services at various locations throughout Region 3.  (5) of the positions fall under Administrative/Clerk II  and (1) is Secretary II.  The contractor personnel fulfilling this position will perform secretarial and administrative duties.  The key responsibilities include: composing routine correspondence, compiling statistical and budgetary information, and communicating with all levels of organizational personnel to gather and convey information.  Under the resulting task order(s) the contractor will independently provide support services that help satisfy the overall objectives of FPS Mid Atlantic Region 3 Mission Support Branch.",REC,DHS HQ/OPO
F2020049076,"This requisition is to paint up to four Blackhawk helicopters in the Air and Marine Operations (AMO) black and gold paint scheme per year. Aircraft will be flown by AMO flight crews to the vendor paint facility. The requirement is for stripping, prepping and repainting of each aircraft.",NEW,CBP/Air and Marine
F2020049078,This acquisition is to procure Quest software license renewal and support.  Anticipating awarding against FIRSTSOURCE II HUBZONE Track,REC,USCIS
F2020049081,"A requirement exists for the repair of  Light Hover/ Landing, Part Number G6250-5  utilized on the USCG MH65 SRR Helicopters. It is anticipated that requirement will be competed on a competitive basis.",NEW,USCG/ALC
F2020049082,This requirement will be a ship repair contract for USCGC ALERT Fiscal Year 21 Drydock (DD) maintenance availability designed to complete all standard recurring maintenance items. Work will be accomplished at contractor's facility unless otherwise specified within the solicitation. ,NEW,USCG/SFLC
F2020049083,To develop and deliver a streamlined approach for DHS Major Acquisition Programs to obtain standardized OTA services to improve Acquisition Program outcomes. ,NEW,DHS HQ/S&T
F2020049087,FY20 PTS RiskMAP services for FEMA Region 1,NEW,FEMA
F2020049094,"US Department of Homeland Security (DHS), Customs and Border Protection (CBP), Office of Information and Technology (OIT), Passenger Systems Program Directorate (PSPD), requires the proper number of personnel, skill mix and experience to support the organizational processes that provide for internal controls, management oversight, systems engineering and technical support.Systems Engineering:CBP intends to procure Systems Engineering support services to assist with oversight, development, deployment, operation, and maintenance of technical solutions. The Contractor shall support the PSPD Program Management Office (PMO) as they work to effectively and efficiently operate, maintain and enhance existing solutions, as well as introduce new and improved technical products, services, systems, and capabilities to CBP operational components. This support includes all aspects of systems engineering, independent verification and validation testing, concept evaluation, modeling and simulation, configuration and change management support, as well as other technology-specific support for current, potential, and proposed efforts.The Contractor must demonstrate expertise in the application of DHS/CBP systems engineering principles and practices, design, operation and implementation of current and emerging border technologies, statistical analyses, design of experiments, design and execution of acceptance tests, deployment and test of systems into the CBP environment as well as configuration control and change management processes and procedures.Systems Technical Support:CBP intends to procure technical management support to assist with oversight of the PSPD technical solutions. The Contractor shall support the PSPD PMO as they work to effectively and efficiently operate and maintain systems as well as introduce and improve technical products, services, systems, and capabilities to CBP operational components. This support includes all aspects of technical management, deployment support and oversight, trade studies, and SharePoint development and maintenance, as well as other technology-specific support for current, potential, and proposed efforts.All support requires an in-depth, demonstrated understanding of CBP, and the PSPD, practices, policies, and procedures. ",REC,CBP/OIT/PSPO
F2020049096,"The contractor shall provide one Fitness Center Manager to oversee daily operations, a Fitness Center Attandant to assist the manager in routine functions throughout the building and preform preventative maintenance service on gym equipment.  Contracted positions will report to Base NCR Director of the Morale, Well-Being, and Recreation (MWR) program. ",NEW,USCG/SILC-Base
F2020049098,"Construct four (4) classroom buildings, one (1) restroom building and one (1) office building.  Work shall include site preparation and all utility connections.",NEW,FLETC/FMD
F2020049099,Repair/Rebuild Waterfront Facilities at USCG STA Ponce de Leon,NEW,USCG/SILC-Const.
F2020049102,The purpose of this requirement is to procure an annual software maintenance for Alfresco. The anticipated strategy is FirstSource II Small Business (SB) track. ,REC,USCIS
F2020049103,"USCIS has an immediate need to purchase critical IT hardware (workstations, monitors, scanners notebooks, etc) while other ongoing procurement are in progress. Anticipating awarding against FIRSTSOURCE II WOSB track as part of CITP FY20-01.",NEW,USCIS
F2020049107,"The requirement is to procure 31 managed parking spaces at National Place,1331 Pennsylvania Ave NW, Washington, DC for the use of U.S. Customs and Border Protection (CBP) employees and government official vehicles.",REC,CBP/Facilities Managemen
F2020049111,"The United States Border Patrol (USBP) Rio Grande Valley (RGV) Sector requires jail space to properly detain illegal subjects awaiting deportation proceedings, held as material witnesses or charged with or convicted of Federal law violations. The USBP RGV Sector seeks to obtain a contract for jail space that will cover the Texas counties of Starr, Hidalgo, Cameron, Nueces, Kleberg, Kenedy, Brooks and Willacy.  Potential detention facilities are required to have U.S. Marshal's Intergovernmental Agreements in place. ",REC,CBP/BP/Rio Grande Valley Se
F2020049112,"USCGC MIDGETT Post Shakedown Availability (PSA) 1 Dockside This will be a ship repair contract for CGC MIDGETT Post Shakedown Availability.(PSA) 1 Dockside, Fiscal Quarter 3 Fiscal Year 2020. The maintenance availability is designed to complete all standard recurring maintenance items. Work to be performed at homeport in Honolulu, HI. Period of Performance: 22JUN 2020 to 21AUG 2020.",NEW,USCG/SFLC
F2020049115,"This project replaces an existing 12 lane bullet trap with a new trap.  Project includes lead abatement, demolition and disposal of the existing trap, and installation and certification of the new trap.  Project includes that trap and decelerators.",NEW,USCG/SILC-Const.
F2020049116,"The Department of Homeland Security (DHS), Federal Emergency Management Agency (FEMA), United States Fire Administration (USFA), National Fire Incident Management Reporting System (NFIRS) requires application development, integration and infrastructure support services.  The contractor shall ensure the operational continuity of NFIRS by providing full Systems Development Life Cycle (SDLC) and project management support.  The required contractor support includes, but is not limited to, supporting change requests (major or minor), production delivery change requests (data or system changes), supporting the resolution of defects, supporting software releases (periodic, scheduled, emergency, patches and/or service packs and enhancements) to test and production environments, reporting, providing technical support to system users, providing end user helpdesk support (Tier 3), developing and maintaining system documentation, to include documentation that supports security changes, maintaining an Authority to Operate (ATO) and remediation plans, ensuring system compliance with IT standards and guidelines including Enterprise Architecture and Cyber Security, supporting User Acceptance Testing (UAT) and Independent Verification and Validation (IV&V) testing, performing system security activities and tasks and supporting sustainment activities that reduce operational, maintenance, security risk.  The contractor shall also provide project management support that provides transparency on the execution of tasks to achieve NFIRS objectives, including the preparation of informational summaries and reports on project status and deliverable schedules.",REC,FEMA
F2020049117,"Installation of New Fire Alarm System in Buildings B, D, F, G, H, I, J, K, and N  at NETC, Emmitsburg, MD.",NEW,FEMA
F2020049118,Capital Improvement of Building J & O Basement Space,NEW,FEMA
F2020049119,"Capital Improvement of Building Roofs: Building H, Building E Stair Towers, Building D",NEW,FEMA
F2020049120,Building L Upgrades,NEW,FEMA
F2020049121,"The USCG needs to have a Cultural Resource Management Plan (CRMP) and a Natural Resources Management Plan (NRMP) prepared for USCG Air Station Barbers Point (ASBP), Hawai'i, to streamline consultation and coordination with regulatory agencies and interested Native Hawai'ian Organizations for future construction work anticipated at ASBP. The Contractor will conduct a literature review of all previous background information, conduct surveys of the ASBP for protected resources and produce documentation that will be used to consult with the United States Fish and Wildlife Service, Hawai'i Department of Land and Natural Resources (DLNR) Division of Forestry and Wildlife (DOFAW) and DLNR Historic Preservation Division (SHPD). The existing built environment will be recorded and evaluated (individually and as a district) for listing on the National Register of Historic Places. A report will be prepared for consultation with the SHPD. Archaeological Surveys will be conducted of the ASBP and a report will be prepared to consult with SHPD and NHOs.Surveys for Threatened and Endangered Species will be conducted for ASBP and a Biological Evaluation or Biological Assessment will be prepared for consultation with USFWS and DOFAW depending on presence of species. A survey for Wetlands will be conducted and documented for inclusion in the NRMP.  A CRMP will be prepared for consultation with SHPD and NHOs.A NRMP will be prepared for consultation with DOFAW and USFWS.",NEW,USCG/SILC-Const.
F2020049124,"The requirement is to procure 13 managed parking spaces at 1717 H Street, NW, Washington, DC. for the use of U.S. Customs and Border Protection (CBP) employees and government official vehicles at $49,296.00 for the base year with 4 option years. ",REC,CBP/Facilities Managemen
F2020049129,"Provide services under the current Production and Technical Services (PTS) contracts to support FEMA Region II in the delivery of the Risk Mapping Assessment and Planning (Risk MAP) Program. Projects will include the preparation of riverine hydrology/hydraulics data development products, including work maps, for the following counties in New York State: 1) Chautauqua County, 2) Franklin County, 3) Genesee County, 4) Jefferson County, 5) St. Lawrence County and 6) Wyoming County. Preliminary regulatory products (FIRM/FIS) will also be prepared for 1) Chautauqua County, 2) Franklin County, 3) Genesee County, 4) Jefferson County, 5) St. Lawrence County and 6) Wyoming County.",NEW,FEMA
F2020049133,"The following categories of service are required for several FEMA Office of Policy, Program Analysis, and International Affairs (OPPA) initiatives. All initiatives are Agency-wide and have far-reaching implications for FEMA employees as well as the emergency management community.1.	General Business Process Improvement (BPI) Support2.	Workshop Development and Support3.	Research and Development of Issue Papers4.	Strategic Communications Support5.	Transition Staff Preparedness6.	Development of Playbooks for Future Implementation of FEMA Initiatives",NEW,FEMA
F2020049134,"The scope of work for this acquisition is to supply administrative, technical, and management support to the DHS S&T OCIO.DHS S&T OCIO seeks to combine requirements from several existing contracts into a unified solution of professional technical support services in order to realize efficiencies and reduce duplication.  This solution will assist the various organizations, missions, functions, and objectives enabling DHS S&T to integrate innovative technology into everyday use by the DHS operational components. DHS S&T information technology (IT) support includes Program Management, Systems Engineering (Network, Cloud), Information System Security Officers (ISSOs), Information Assurance Compliance, IT Operations and Maintenance, IT Governance, and Collaborative Solutions (SharePoint).The contract vehicle for this requirement is TBD. ",NEW,DHS HQ/S&T
F2020049136,Rental of a firing range,REC,TSA
F2020049139,"Homeland Security Investigations (HSI), in conjunction with ICE Enforcement Removal Operations (ERO), is seeking methods of leveraging technology to detect and deter fraudulent claims of family relationships on the southwest border.  This cooperative initiative is a direct response to a recent rise in false claims of parent-child relationships being made by individuals arriving at the U.S. border, with the objective of obtaining release from custody rather than remaining in detention. HSI is seeking to use a commercially available Rapid DNA system to assess the feasibility of using Rapid DNA technology to determine the extent of family unit fraud on the southwest border.   ",REC,ICE/HSI
F2020049142,"TSA Information Technology seeks the procurement of ongoing license renewal maintenance and support of SolarWinds software currently deployed in the TSA environment. The total period of performance will be one base year from April 1, 2020 through March 30, 2021.",REC,TSA
F2020049143,The U.S. Coast Guard (CG) requires environmental professional consulting services to assist with implementing Post Hurricane Impact Assessments (PHIA) at 19 selected CG facilities.  This solicitation is only available to current Environmental MATOC Contractors,NEW,USCG/SILC-Const.
F2020049144,Radio Gear for APG Tower Project. The items include Motorola products and services. The items will be utilized in the MERS radio network system.,NEW,FEMA
F2020049148,REVISION OF THE E0386 AND E0312 COURSES,NEW,FEMA
F2020049154,"1.1.	Introduction:  The U.S. Customs and Border Protection (CBP) Facility Management and Engineering (FM&E) Division  requires the construction of a paved parking lot in the vicinity of the Lodge/Conference Center Complex (LCC) located at CBP Advanced Training Center.1.2.	Background:1.2.1.	CBP is an agency within the Department of Homeland Security (DHS) whose mission includes enforcement of U.S. immigration laws, interdiction, and apprehension of those who may participate in illegal activities at our nation’s borders, as well as facilitation of legal immigration and visitation. 1.2.2.	The goal of this project is to provide a paved asphalt parking lot consisting of 167 parking spaces, curb stops, sidewalks, striping, landscaping, lighting, and signage. 1.2.3.	The LCC is currently still under construction and is scheduled for completion in February 2020.  The contractor constructing the LCC is currently using the area designated for the LCC Parking Lot for their project trailers, equipment parking, and material storage.  The start of the LCC Parking Lot will coincide with the completion of the LCC and subsequent departure of the construction contractor.",NEW,CBP/Facilities Managemen
F2020049156,"FEMA's Office of External Affairs Ready Campaign is seeking support services of contractors with expertise in marketing and advertising services to help develop and execute a national public awareness campaign with various media components and materials, and be able to capitalize on strategic partnerships to assist with the campaign. ",REC,FEMA
F2020049159,"The contractor shall provide Oil Water Separator (OWS) and Sand Trap Cleaning Services, and Analytical Results Reporting at designated U.S. Custom and Border Protection (CBP) and Air and Marine Office (AMO) facilities throughout El Paso Sector.  This includes facilities in New Mexico and west Texas.  ",REC,CBP/Facilities Managemen
F2020049160,The contractor shall provide Full Service internal and exterior commercial (Non-Residential) Integrated Pest Management (IPM) services at all thirty-five (35) U.S. Custom and Border Protection (CBP) Facility locations within the El Paso Sector.  This includes facilities in New Mexico and west Texas.  There are multiple buildings and structures at each of the 35 Facility locations.,REC,CBP/Facilities Managemen
F2020049161,Provide shipboard Radio Stations (QTY: 3) and technical assistance to Barbados FMS Case #BB-P-LAC - Sole Source to Harris Corporation per FAR 6.302-4(c) - International Agreement,NEW,USCG/CG-912
F2020049164,"PSN 10593424 Design Study Dredge STA Cape Disappointment (FY20)Provide sampling and analysis plans, biological assessments, and satisfy requirements for obtaining Army Corps permits, and provide support to CEU Oakland project manager.",NEW,USCG/SILC-Const.
F2020049169,"FEMA is seeking a contractor to provide a variety of essential Program Management Services. The Contractor will be part of an integrated team, participating with Federal employees and other contractors to support the GPD’s tactical and strategic objectives.  This will include assisting with a range of risk assessment, program management, and strategic support across grant programs to ensure the organization is directing grant dollars consistent with the all-hazard threat and risk environment.   ",REC,FEMA
F2020049170,"GPD requires contractor support to enhance its data analysis and reporting to more visually illustrate and communicate its mission successes, potential performance gaps, and provide evidence that the funding for grants accomplishes the intended purposes. A key part of this support is the analysis of existing data which will assist the creation of a communications sharing environment. ",REC,FEMA
F2020049172,"The Contractor shall provide on-site project management support in accordance with the guidance, practices and policies set forth in the Major System Acquisition Manual (MSAM) COMDTINST M5000.10 (series), and any updates of the MSAM and references through-out the period of performance. Support services shall include, but not be limited to; review of contract deliverables, development and review of project plans, assisting in drafting acquisition documents, and providing general subject matter expertise in these areas. The Contractor shall provide (5) personnel for  Program Management, SharePoint Technical and Data Management Support Services, Documentation and Administrative Support, Integrated Master Schedule (IMS) and Earned Value Management System (EVMS) Surveillance Support, Technical Support Management (TSM) system Deficiency Records Administrator, and  TSM system Software Manager  throughout the duration of the period of performance to ensure efficient program management and execution",NEW,USCG/CG-912
F2020049173,"The contractor shall complete repairs and renovations on the two medical trailers (referred to as 1) dental trailer and 2) administrative trailer) located at T. Don Hutto Residential Center in Taylor, TX within the period of performance of six (6) months.",NEW,ICE/ERO
F2020049174,"Provide Cloud Computing Services: Infrastructure as a Service, Software as a Service, Platform as a Service",NEW,CBP/Office of Technology
F2020049175,"Provide technical assistance and support services for assigned CBP P-3 AEW and LRT aircraft; as well as DHC-8 and Multi- Role Enforcement Aircraft (MEA) equipment. This support will include radar, optical, and communication systems support services; air vehicle and mission equipment training, repair, modification and technical support services; maintaining support of ground station facilities, avionics systems and data development, depot level aircraft technical support, and documentation services. U.S. Customs and Border Protection (CBP) requires satellite communications capabilities to support Air and Marine Operations (AMO). AMO depends on Raytheon PSC-5D tactical satellite radios to support their operations around the continental U.S., Puerto Rico, and the Virgin Islands. ",REC,CBP/Air and Marine
F2020049176,The USCIS is in need of an Operations Officer to provide program and technical support to the Chief Information Security officer and the Deputy Information Security Officer. This person will report directly to the Deputy of Information Security Officer for USCIS in the Information Security Division.  Anticipated awarding as an 8(a) direct against 8(a) STARS II,NEW,USCIS
